Sentence #,Abstract,POS,Tag,Doc_ID
Sentence: 15487,Taiwan President Chen Shui-bian briefly joined a massive rally Saturday in Taipei to protest China 's threat to use force against the island if it formally declares independence .,"['NNP', 'NNP', 'NNP', 'NNP', 'NN', 'VBD', 'DT', 'JJ', 'NN', 'NNP', 'IN', 'NNP', 'TO', 'VB', 'NNP', 'POS', 'NN', 'TO', 'VB', 'NN', 'IN', 'DT', 'NN', 'IN', 'PRP', 'RB', 'VBZ', 'NN', '.']","['B-gpe', 'B-per', 'I-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'O', 'B-geo', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",26
Sentence: 1522,"An agreement signed last year with the European Union is pending , but a deal with the United States has been stalled in Congress since 2007 because of concerns from the American beef and auto industries .","['DT', 'NN', 'VBN', 'JJ', 'NN', 'IN', 'DT', 'NNP', 'NNP', 'VBZ', 'VBG', ',', 'CC', 'DT', 'NN', 'IN', 'DT', 'NNP', 'NNPS', 'VBZ', 'VBN', 'VBN', 'IN', 'NNP', 'IN', 'CD', 'IN', 'IN', 'NNS', 'IN', 'DT', 'JJ', 'NN', 'CC', 'NN', 'NNS', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'I-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'I-geo', 'O', 'O', 'O', 'O', 'B-org', 'O', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'O']",27
Sentence: 34176,"China and Taiwan split in 1949 after a civil war , but Beijing considers Taiwan a renegade province .","['NNP', 'CC', 'NNP', 'NN', 'IN', 'CD', 'IN', 'DT', 'JJ', 'NN', ',', 'CC', 'NNP', 'VBZ', 'NNP', 'DT', 'NN', 'NN', '.']","['B-geo', 'O', 'B-geo', 'O', 'O', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'B-geo', 'O', 'O', 'O', 'O']",28
Sentence: 46729,"Separately , police say Iraq 's Deputy Trade Minister Dawoud Hassan was wounded when his motorcade was ambushed in the capital .","['RB', ',', 'NNS', 'VBP', 'NNP', 'POS', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'VBD', 'VBN', 'WRB', 'PRP$', 'NN', 'VBD', 'VBN', 'IN', 'DT', 'NN', '.']","['O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'B-per', 'I-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",29
Sentence: 21560,"The attacks started Thursday when gang members set fire to several city buses , burning some passengers alive .","['DT', 'NNS', 'VBD', 'NNP', 'WRB', 'NN', 'NNS', 'VBD', 'NN', 'TO', 'JJ', 'NN', 'NNS', ',', 'VBG', 'DT', 'NNS', 'JJ', '.']","['O', 'O', 'O', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",30
Sentence: 631,"Norway 's Prime Minister Jens Stoltenberg and Nobel-Prize winning environmentalist Wangari Maathai on Tuesday placed the first seeds inside the vault , built in caverns 130 meters inside a frozen mountain .","['NNP', 'POS', 'JJ', 'NN', 'NNP', 'NNP', 'CC', 'NNP', 'VBG', 'NN', 'NNP', 'NNP', 'IN', 'NNP', 'VBD', 'DT', 'JJ', 'NNS', 'IN', 'DT', 'NN', ',', 'VBN', 'IN', 'NNS', 'CD', 'NNS', 'IN', 'DT', 'JJ', 'NN', '.']","['B-gpe', 'O', 'O', 'O', 'B-per', 'I-per', 'O', 'B-art', 'O', 'O', 'B-per', 'I-per', 'O', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",31
Sentence: 16966,U.S. military spokesmen say four American soldiers have been wounded by an insurgent 's roadside bomb that hit their armored vehicle in northeastern Afghanistan .,"['NNP', 'JJ', 'NNS', 'VBP', 'CD', 'JJ', 'NNS', 'VBP', 'VBN', 'VBN', 'IN', 'DT', 'NN', 'POS', 'NN', 'NN', 'WDT', 'VBD', 'PRP$', 'JJ', 'NN', 'IN', 'JJ', 'NNP', '.']","['B-geo', 'O', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O']",32
Sentence: 45832,The three men have denied the charge .,"['DT', 'CD', 'NNS', 'VBP', 'VBN', 'DT', 'NN', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",33
Sentence: 26904,Zhao was deposed in 1989 over his opposition to the violent crackdown on pro-democracy protesters in Tiananmen Square .,"['NNP', 'VBD', 'VBN', 'IN', 'CD', 'IN', 'PRP$', 'NN', 'TO', 'DT', 'JJ', 'NN', 'IN', 'JJ', 'NNS', 'IN', 'NNP', 'NNP', '.']","['B-per', 'O', 'O', 'O', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'I-geo', 'O']",34
Sentence: 18766,The two officials also discussed the possibility of Sudanese soldiers joining forces with the Ugandan army to fight the rebel Lord 's Resistance Army in northern Uganda .,"['DT', 'CD', 'NNS', 'RB', 'VBD', 'DT', 'NN', 'IN', 'JJ', 'NNS', 'VBG', 'NNS', 'IN', 'DT', 'JJ', 'NN', 'TO', 'VB', 'DT', 'NN', 'NNP', 'POS', 'NN', 'NN', 'IN', 'JJ', 'NNP', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'O', 'B-org', 'I-org', 'I-org', 'I-org', 'O', 'O', 'B-geo', 'O']",35
Sentence: 32928,A tribal chieftain in Sudan 's Darfur region says at least 55 people have been killed and more than 80 others wounded in fighting between the south Sudan army and Darfuri Arab tribes .,"['DT', 'JJ', 'NN', 'IN', 'NNP', 'POS', 'NNP', 'NN', 'VBZ', 'IN', 'JJS', 'CD', 'NNS', 'VBP', 'VBN', 'VBN', 'CC', 'JJR', 'IN', 'CD', 'NNS', 'VBN', 'IN', 'VBG', 'IN', 'DT', 'JJ', 'NNP', 'NN', 'CC', 'NNP', 'NNP', 'NNS', '.']","['O', 'O', 'O', 'O', 'B-geo', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'I-geo', 'O', 'O', 'B-org', 'I-org', 'O', 'O']",36
Sentence: 22206,"They say two women were released Tuesday , but the fate of the remaining four pilgrims is still not clear .","['PRP', 'VBP', 'CD', 'NNS', 'VBD', 'VBN', 'NNP', ',', 'CC', 'DT', 'NN', 'IN', 'DT', 'VBG', 'CD', 'NNS', 'VBZ', 'RB', 'RB', 'JJ', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",37
Sentence: 36741,Organizers say they object to raids on religious schools and mosques in a crackdown they say is an effort to appease the United States and the West .,"['NNS', 'VBP', 'PRP', 'VBP', 'TO', 'NNS', 'IN', 'JJ', 'NNS', 'CC', 'NNS', 'IN', 'DT', 'NN', 'PRP', 'VBP', 'VBZ', 'DT', 'NN', 'TO', 'VB', 'DT', 'NNP', 'NNPS', 'CC', 'DT', 'NNP', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'I-geo', 'O', 'O', 'B-geo', 'O']",38
Sentence: 42681,The U.N. agency says a new wave of human smuggling vessels has been trying to cross the Gulf of Aden after a two-week lull stemming from bad weather .,"['DT', 'NNP', 'NN', 'VBZ', 'DT', 'JJ', 'NN', 'IN', 'JJ', 'NN', 'NNS', 'VBZ', 'VBN', 'VBG', 'TO', 'VB', 'DT', 'NNP', 'IN', 'NNP', 'IN', 'DT', 'JJ', 'NN', 'VBG', 'IN', 'JJ', 'NN', '.']","['O', 'B-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'I-geo', 'I-geo', 'O', 'O', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'O']",39
Sentence: 7366,Chinese authorities are offering generous rewards to anyone who provides information on security threats during the Olympic Games .,"['JJ', 'NNS', 'VBP', 'VBG', 'JJ', 'NNS', 'TO', 'DT', 'WP', 'VBZ', 'NN', 'IN', 'NN', 'NNS', 'IN', 'DT', 'NNP', 'NNPS', '.']","['B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",40
Sentence: 13197,"The pro-Western governing coalition and the Hezbollah-led opposition are at odds over who will succeed pro-Syrian President Emile Lahoud , whose term ends Friday night .","['DT', 'JJ', 'NN', 'NN', 'CC', 'DT', 'JJ', 'NN', 'VBP', 'IN', 'NNS', 'IN', 'WP', 'MD', 'VB', 'JJ', 'NNP', 'NNP', 'NNP', ',', 'WP$', 'NN', 'VBZ', 'NNP', 'NN', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-per', 'I-per', 'I-per', 'O', 'O', 'O', 'O', 'B-tim', 'I-tim', 'O']",41
Sentence: 6874,"The explosion , which was seen on live television and before an audience that included school children , was blamed on a failure of a seal in the shuttle 's solid rocket booster due to the cold weather .","['DT', 'NN', ',', 'WDT', 'VBD', 'VBN', 'IN', 'JJ', 'NN', 'CC', 'IN', 'DT', 'NN', 'WDT', 'VBD', 'NN', 'NNS', ',', 'VBD', 'VBN', 'IN', 'DT', 'NN', 'IN', 'DT', 'NN', 'IN', 'DT', 'NN', 'POS', 'JJ', 'NN', 'NN', 'JJ', 'TO', 'DT', 'JJ', 'NN', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",42
Sentence: 47063,"If housing starts continued at September 's rate for a whole year , just 8,17,000 new homes would go up .","['IN', 'NN', 'NNS', 'VBD', 'IN', 'NNP', 'POS', 'NN', 'IN', 'DT', 'JJ', 'NN', ',', 'RB', 'CD', 'JJ', 'NNS', 'MD', 'VB', 'RP', '.']","['O', 'O', 'O', 'O', 'O', 'B-tim', 'O', 'O', 'O', 'O', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",43
Sentence: 47391,A similar attack Monday cut power to two million people in the area .,"['DT', 'JJ', 'NN', 'NNP', 'VBD', 'NN', 'TO', 'CD', 'CD', 'NNS', 'IN', 'DT', 'NN', '.']","['O', 'O', 'O', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",44
Sentence: 30444,Mexican President Felipe Calderon has sought more private investment in Pemex to boost falling production .,"['JJ', 'NNP', 'NNP', 'NNP', 'VBZ', 'VBN', 'RBR', 'JJ', 'NN', 'IN', 'NNP', 'TO', 'VB', 'VBG', 'NN', '.']","['B-gpe', 'B-per', 'I-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O']",45
Sentence: 41833,"A new museum opened Friday in Washington on crime and law enforcement , mostly in the United States .","['DT', 'JJ', 'NN', 'VBD', 'NNP', 'IN', 'NNP', 'IN', 'NN', 'CC', 'NN', 'NN', ',', 'RB', 'IN', 'DT', 'NNP', 'NNPS', '.']","['O', 'O', 'O', 'O', 'B-tim', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'I-geo', 'O']",46
Sentence: 29895,Mexico 's conservative ruling party says it will ask the Supreme Court to review Mexico City 's recent decision to allow first-trimester abortions in the capital .,"['NNP', 'POS', 'JJ', 'VBG', 'NN', 'VBZ', 'PRP', 'MD', 'VB', 'DT', 'NNP', 'NNP', 'TO', 'VB', 'NNP', 'NNP', 'POS', 'JJ', 'NN', 'TO', 'VB', 'JJ', 'NNS', 'IN', 'DT', 'NN', '.']","['B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'I-org', 'O', 'O', 'B-geo', 'I-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",47
Sentence: 17291,"Russian lawmakers have passed a sweeping new anti-terrorism bill that would allow the military to attack planes and ships used in terrorist acts , even if hostages are aboard .","['JJ', 'NNS', 'VBP', 'VBN', 'DT', 'JJ', 'JJ', 'JJ', 'NN', 'WDT', 'MD', 'VB', 'DT', 'NN', 'TO', 'VB', 'NNS', 'CC', 'NNS', 'VBN', 'IN', 'JJ', 'NNS', ',', 'RB', 'IN', 'NNS', 'VBP', 'RB', '.']","['B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",48
Sentence: 27569,The Wall Street Journal cites unnamed sources and says it is not yet clear how other companies will respond .,"['DT', 'NNP', 'NNP', 'NNP', 'VBZ', 'JJ', 'NNS', 'CC', 'VBZ', 'PRP', 'VBZ', 'RB', 'RB', 'JJ', 'WRB', 'JJ', 'NNS', 'MD', 'VB', '.']","['B-org', 'I-org', 'I-org', 'I-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",49
